"station_a","station_b","distance","line","is_blocked","id","time"
"东四","张自忠路","1017","5","0","93","91.53"
"灯市口","东四","848","5","0","94","76.32"
"东单","灯市口","945","5","0","95","85.05"
"崇文门","东单","822","5","0","96","73.98"
"磁器口","崇文门","877","5","0","97","78.93"
"天坛东门","磁器口","1183","5","0","98","106.47"
"蒲黄榆","天坛东门","1900","5","0","99","171"
"刘家窑","蒲黄榆","905","5","0","100","81.45"
"宋家庄","刘家窑","1670","5","0","101","150.3"
"金安桥","苹果园","1438","6","0","102","103.54"
"苹果园","杨庄","839","6","0","103","60.41"
"杨庄","西黄村","1792","6","0","104","129.02"
"西黄村","廖公庄","1794","6","0","105","129.17"
"廖公庄","田村","2276","6","0","106","163.87"
"田村","海淀五路居","2140","6","0","107","154.08"
"海淀五路居","慈寿寺","1509","6","0","108","108.65"
"慈寿寺","花园桥","1431","6","0","109","103.03"
"花园桥","白石桥南","1167","6","0","110","84.02"
"白石桥南","二里沟","777","6","0","111","55.94"
"二里沟","车公庄西","888","6","0","112","63.94"
"车公庄西","车公庄","887","6","0","113","63.86"
"车公庄","平安里","1444","6","0","114","103.97"
"平安里","北海北","1322","6","0","115","95.18"
"北海北","南锣鼓巷","1349","6","0","116","97.13"
"南锣鼓巷","东四","1937","6","0","117","139.46"
"东四","朝阳门","1400","6","0","118","100.8"
"朝阳门","东大桥","1669","6","0","119","120.17"
"东大桥","呼家楼","846","6","0","120","60.91"
"呼家楼","金台路","1450","6","0","121","104.4"
"金台路","十里堡","2037","6","0","122","146.66"
"十里堡","青年路","1283","6","0","123","92.38"
"青年路","褡裢坡","3999","6","0","124","287.93"
"褡裢坡","黄渠","1239","6","0","125","89.21"
"黄渠","常营","1854","6","0","126","133.49"
"常营","草房","1407","6","0","127","101.3"
"草房","物资学院路","2115","6","0","128","152.28"
"物资学院路","通州北关","2557","6","0","129","184.1"
"通州北关","北运河西","3011","6","0","130","216.79"
"北运河西","北运河东","1600","6","0","131","115.2"
"北运河东","郝家府","929","6","0","132","66.89"
"郝家府","东夏园","1347","6","0","133","96.98"
"东夏园","潞城","1194","6","0","134","85.97"
"北京西站","湾子","935","7","0","135","84.15"
"湾子","达官营","734","7","0","136","66.06"
"达官营","广安门内","1875","7","0","137","168.75"
"广安门内","菜市口","1373","7","0","138","123.57"
"菜市口","虎坊桥","886","7","0","139","79.74"
"虎坊桥","珠市口","1205","7","0","140","108.45"
"珠市口","桥湾","869","7","0","141","78.21"
"桥湾","磁器口","1016","7","0","142","91.44"
"磁器口","广渠门内","1138","7","0","143","102.42"
"广渠门内","广渠门外","1332","7","0","144","119.88"
"广渠门外","双井","1241","7","0","145","111.69"
"双井","九龙山","1311","7","0","146","117.99"
"九龙山","大郊亭","781","7","0","147","70.29"
"大郊亭","百子湾","865","7","0","148","77.85"
"百子湾","化工","903","7","0","149","81.27"
"化工","南楼梓庄","1465","7","0","150","131.85"
"南楼梓庄","欢乐谷景区","905","7","0","151","81.45"
"欢乐谷景区","垡头","1679","7","0","152","151.11"
"垡头","双合","1304","7","0","153","117.36"
"双合","焦化厂","1021","7","0","154","91.89"
"焦化厂","黄厂","1678","7","0","155","151.02"
"黄厂","郎辛庄","1752","7","0","156","157.68"
"郎辛庄","黑庄户","2517","7","0","157","226.53"
"黑庄户","万盛西","2961","7","0","158","266.49"
"万盛西","万盛东","2110","7","0","159","189.9"
"万盛东","群芳","1160","7","0","160","104.4"
"群芳","高楼金","1195","7","0","161","107.55"
"高楼金","花庄","1425","7","0","162","128.25"
"花庄","环球度假区","1769","7","0","163","159.21"
"育知路","朱辛庄","2319","8","0","164","208.71"
"平西府","育知路","1986","8","0","165","178.74"
"回龙观东大街","平西府","2017","8","0","166","181.53"
"霍营","回龙观东大街","1115","8","0","167","100.35"
"育新","霍营","1895","8","0","168","170.55"
"西小口","育新","1543","8","0","169","138.87"
"永泰庄","西小口","1042","8","0","170","93.78"
"林萃桥","永泰庄","2553","8","0","171","229.77"
"森林公园南门","林萃桥","2558","8","0","172","230.22"
"奥林匹克公园","森林公园南门","1017","8","0","173","91.53"
"奥体中心","奥林匹克公园","1667","8","0","174","150.03"
"北土城","奥体中心","900","8","0","175","81"
"安华桥","北土城","1009","8","0","176","90.81"
"安德里北街","安华桥","1275","8","0","177","114.75"
"鼓楼大街","安德里北街","1084","8","0","178","97.56"
"什刹海","鼓楼大街","1188","8","0","179","106.92"
"南锣鼓巷","什刹海","902","8","0","180","81.18"
"中国美术馆","南锣鼓巷","1437","8","0","181","129.33"
"金鱼胡同","中国美术馆","873","8","0","182","78.57"
"王府井","金鱼胡同","762","8","0","183","68.58"
"前门","王府井","1857","8","0","184","167.13"
"珠市口","前门","1085","8","0","185","97.65"
"天桥","珠市口","881","8","0","186","79.29"
"永定门外","天桥","1800","8","0","187","162"
"木樨园","永定门外","741","8","0","188","66.69"
"海户屯","木樨园","845","8","0","189","76.05"
"大红门南","海户屯","1678","8","0","190","151.02"
"和义","大红门南","2446","8","0","191","220.14"
"东高地","和义","1537","8","0","192","138.33"
"火箭万源","东高地","1215","8","0","193","109.35"
"五福堂","火箭万源","1684","8","0","194","151.56"
"德茂","五福堂","2076","8","0","195","186.84"
"瀛海","德茂","1510","8","0","196","135.9"
"白石桥南","国家图书馆","1096","9","0","197","98.64"
"白堆子","白石桥南","1044","9","0","198","93.96"
"军事博物馆","白堆子","1912","9","0","199","172.08"
"北京西站","军事博物馆","1398","9","0","200","125.82"
"六里桥东","北京西站","1171","9","0","201","105.39"
"六里桥","六里桥东","1309","9","0","202","117.81"
"七里庄","六里桥","1779","9","0","203","160.11"
"丰台东大街","七里庄","1326","9","0","204","119.34"
"丰台南路","丰台东大街","1585","9","0","205","142.65"
"科怡路","丰台南路","980","9","0","206","88.2"
"丰台科技园","科怡路","788","9","0","207","70.92"
"郭公庄","丰台科技园","1348","9","0","208","121.32"
"巴沟","火器营","1441","10","0","209","129.69"
"海淀黄庄","苏州街","950","10","0","210","85.5"
"知春里","海淀黄庄","976","10","0","211","87.84"
"知春路","知春里","1058","10","0","212","95.22"
"西土城","知春路","1102","10","0","213","99.18"
"牡丹园","西土城","1330","10","0","214","119.7"
"健德门","牡丹园","967","10","0","215","87.03"
"北土城","健德门","1100","10","0","216","99"
"安贞门","北土城","1020","10","0","217","91.8"
"惠新西街南口","安贞门","982","10","0","218","88.38"
"芍药居","惠新西街南口","1713","10","0","219","154.17"
"太阳宫","芍药居","1003","10","0","220","90.27"
"三元桥","太阳宫","1759","10","0","221","158.31"
